38;C;REG 1;ACEH;488
55;C;REG 1;BABEL;98
41;C;REG 1;BENGKULU;404
35;C;REG 1;JAMBI;515
32;C;REG 1;LAMPUNG;556
11;A;REG 1;MEDAN;2802
18;B;REG 1;RIDAR;1372
29;B;REG 1;RIKEP;630
21;B;REG 1;SUMBAR;1086
23;B;REG 1;SUMSEL;996
24;C;REG 1;SUMUT;867
20;B;REG 2;BANTEN;1212
6;A;REG 2;BEKASI;3822
9;A;REG 2;BOGOR;3309
7;A;REG 2;JAKBAR;3739
10;A;REG 2;JAKPUS;3211
1;A;REG 2;JAKSEL;5944
5;A;REG 2;JAKTIM;4014
3;A;REG 2;JAKUT;5341
4;A;REG 2;TANGERANG;4460
8;A;REG 3;BANDUNG;3723
19;B;REG 3;BANDUNGBRT;1218
48;C;REG 3;CIREBON;304
31;C;REG 3;KARAWANG;579
45;C;REG 3;SUKABUMI;315
30;C;REG 3;TASIKMALAYA;612
39;C;REG 4;KUDUS;452
22;C;REG 4;MAGELANG;1066
51;C;REG 4;PEKALONGAN;182
33;C;REG 4;PURWOKERTO;537
14;A;REG 4;SEMARANG;1924
17;B;REG 4;SOLO;1503
13;B;REG 4;YOGYAKARTA;2294
12;A;REG 5;DENPASAR;2335
25;C;REG 5;JEMBER;820
34;C;REG 5;KEDIRI;534
40;C;REG 5;MADIUN;413
;C;REG 5;MADURA;
16;B;REG 5;MALANG;1888
50;C;REG 5;NTB;183
53;C;REG 5;NTT;116
43;C;REG 5;PASURUAN;356
15;B;REG 5;SIDOARJO;1914
28;C;REG 5;SINGARAJA;654
2;A;REG 5;SURABAYA SELATAN;5390
27;A;REG 5;SURABAYA UTARA;754
49;B;REG 6;BALIKPAPAN;197
44;B;REG 6;KALBAR;337
36;B;REG 6;KALSEL;508
57;C;REG 6;KALTARA;72
46;C;REG 6;KALTENG;312
37;B;REG 6;SAMARINDA;490
60;C;REG 7;GORONTALO;24
26;A;REG 7;MAKASAR;791
54;C;REG 7;MALUKU;104
58;C;REG 7;PAPUA;48
59;C;REG 7;PAPUA BARAT;28
56;C;REG 7;SULSELBAR;75
42;C;REG 7;SULTENG;395
52;C;REG 7;SULTRA;157
47;A;REG 7;SULUTMALUT;309
